transaction_id,user_id,amount,hour,device_risk_score,ip_risk_score,transaction_type,merchant_category,country,is_fraud
1,39896,4.84,13,0.1275,0.0046,purchase,retail,RU,0
2,76551,30.28,21,0.2972,0.2655,purchase,travel,CN,0
3,48034,24.34,16,0.6755,0.664,purchase,grocery,FR,1
4,75696,13.17,15,0.2238,0.1104,purchase,crypto,DE,0
5,83700,34.77,14,0.221,0.0205,withdrawal,grocery,NL,0
6,94097,50.64,9,0.7354,0.2856,purchase,retail,NL,0
7,91770,92.98,21,0.7807,0.3286,purchase,retail,US,0
8,96430,16.16,12,0.3128,0.4638,purchase,travel,FR,0
9,69698,59.72,9,0.1514,0.3123,withdrawal,grocery,NL,0
10,28742,43.04,23,0.1226,0.0748,purchase,grocery,DE,0
11,12691,57.13,11,0.2256,0.5539,purchase,retail,FR,0
12,39139,27.34,10,0.1157,0.0664,purchase,gaming,NL,0
13,54251,137.78,2,0.0519,0.0467,transfer,gaming,DE,0
14,30238,38.94,8,0.2493,0.4239,purchase,travel,GB,0
15,79667,192.11,18,0.5,0.5081,purchase,grocery,FR,0
16,45028,21.72,12,0.3947,0.2333,purchase,grocery,US,0
17,93789,79.95,21,0.0431,0.2018,purchase,retail,GB,0
18,13549,32.42,9,0.3803,0.3945,refund,crypto,US,1
19,20767,40.42,6,0.3351,0.3416,withdrawal,gaming,NL,0
20,53311,207.62,14,0.8821,0.6222,withdrawal,grocery,NL,0
21,35724,72.78,16,0.126,0.1089,purchase,retail,US,0
22,89746,32.97,14,0.0667,0.4673,purchase,electronics,DE,0
23,55535,4.43,13,0.1294,0.4363,purchase,crypto,GB,0
24,75311,3.15,13,0.04,0.1183,purchase,retail,CN,0
25,72930,125.41,15,0.1992,0.3644,purchase,travel,DE,0
26,60858,120.99,19,0.0905,0.1944,purchase,crypto,FR,0
27,69071,211.5,10,0.1354,0.3345,purchase,retail,DE,0
28,32483,112.07,1,0.2474,0.6229,transfer,crypto,RU,1
29,46693,41.89,11,0.0681,0.0226,purchase,electronics,FR,0
30,32212,14.17,14,0.1571,0.4572,purchase,grocery,US,0
31,89517,29.77,10,0.6512,0.0719,purchase,travel,DE,0
32,17419,78.12,19,0.5854,0.8154,withdrawal,crypto,GB,1
33,87359,42.94,8,0.249,0.0953,withdrawal,retail,DE,0
34,17446,18.07,22,0.0137,0.2418,purchase,retail,DE,0
35,49634,172.65,8,0.3633,0.7203,purchase,grocery,GB,0
36,78779,285.31,9,0.2456,0.2522,purchase,retail,DE,0
37,51631,63.85,14,0.5096,0.0606,transfer,travel,NL,0
38,94771,42.13,5,0.1354,0.2253,withdrawal,retail,GB,0
39,87867,14.14,2,0.0735,0.2186,purchase,electronics,NL,0
40,86201,158.3,5,0.3735,0.3529,transfer,retail,CN,0
41,74223,45.37,7,0.1741,0.0118,purchase,electronics,GB,0
42,94334,33.26,11,0.1982,0.1637,purchase,retail,DE,0
43,40630,64.01,18,0.0287,0.2029,purchase,electronics,US,0
44,17479,25.85,10,0.2811,0.1056,purchase,retail,FR,0
45,57330,48.18,11,0.1304,0.0405,transfer,retail,RU,0
46,42012,12.48,14,0.3432,0.198,purchase,grocery,RU,0
47,16555,107.13,9,0.1545,0.0762,purchase,electronics,DE,0
48,31380,38.91,11,0.244,0.1232,purchase,retail,DE,0
49,15067,113.86,10,0.0463,0.2155,purchase,electronics,NL,0
50,18783,35.84,10,0.0853,0.0178,transfer,retail,DE,0
51,81977,37.87,11,0.4212,0.6899,purchase,crypto,FR,0
52,31267,11.29,0,0.8583,0.3636,refund,gaming,CN,1
53,58482,15.17,0,0.8777,0.5799,purchase,retail,RU,0
54,67706,81.11,19,0.3206,0.1258,purchase,retail,FR,0
55,37294,20.2,22,0.4376,0.1908,purchase,travel,DE,0
56,53512,28.12,19,0.1539,0.0689,purchase,retail,DE,0
57,51917,233.31,0,0.5582,0.0178,purchase,grocery,GB,0
58,91817,47.14,16,0.4062,0.0811,transfer,electronics,CN,0
59,96147,9.97,13,0.3525,0.0692,refund,electronics,CN,0
60,21931,34.95,6,0.1064,0.0802,purchase,retail,DE,0
61,74093,83.59,21,0.2205,0.387,transfer,retail,DE,0
